idx,1 vs. 0,2 vs. 0,2 vs. 1
-1.7144182573044016,-0.408,-0.319,0.088
,"[-0.704, -0.111]","[-0.698, 0.06]","[-0.254, 0.431]"
-1.658484742346402,-0.407,-0.312,0.095
,"[-0.705, -0.108]","[-0.694, 0.07]","[-0.25, 0.439]"
-1.576011262540505,-0.41,-0.32,0.09
,"[-0.707, -0.113]","[-0.698, 0.057]","[-0.255, 0.435]"
-1.5246816375261607,-0.415,-0.329,0.087
,"[-0.71, -0.12]","[-0.705, 0.047]","[-0.257, 0.43]"
-1.4525121304638229,-0.424,-0.352,0.072
,"[-0.712, -0.136]","[-0.726, 0.022]","[-0.273, 0.416]"
-1.39170072024102,-0.432,-0.373,0.06
,"[-0.712, -0.153]","[-0.74, -0.005]","[-0.279, 0.398]"
-1.3512796738283397,-0.438,-0.39,0.048
,"[-0.709, -0.167]","[-0.733, -0.047]","[-0.264, 0.361]"
-1.2911313308400365,-0.446,-0.417,0.029
,"[-0.705, -0.187]","[-0.747, -0.087]","[-0.276, 0.333]"
-1.216236212856429,-0.453,-0.447,0.007
,"[-0.708, -0.199]","[-0.766, -0.127]","[-0.291, 0.304]"
-1.155487407628078,-0.453,-0.464,-0.011
,"[-0.71, -0.196]","[-0.786, -0.142]","[-0.307, 0.286]"
-1.1113378338892788,-0.451,-0.47,-0.019
,"[-0.703, -0.198]","[-0.788, -0.152]","[-0.312, 0.273]"
-1.055241457389246,-0.443,-0.46,-0.017
,"[-0.696, -0.189]","[-0.778, -0.143]","[-0.31, 0.275]"
-0.9733962062337136,-0.428,-0.442,-0.014
,"[-0.676, -0.18]","[-0.778, -0.106]","[-0.331, 0.302]"
-0.9024451097017911,-0.406,-0.418,-0.012
,"[-0.65, -0.163]","[-0.75, -0.087]","[-0.321, 0.297]"
-0.8662282981810873,-0.396,-0.408,-0.012
,"[-0.641, -0.151]","[-0.736, -0.08]","[-0.316, 0.293]"
-0.8156291692951694,-0.378,-0.388,-0.01
,"[-0.621, -0.136]","[-0.711, -0.065]","[-0.31, 0.29]"
-0.7265906511140023,-0.345,-0.353,-0.007
,"[-0.58, -0.111]","[-0.665, -0.04]","[-0.299, 0.284]"
-0.6776854105773392,-0.317,-0.326,-0.009
,"[-0.531, -0.102]","[-0.621, -0.031]","[-0.287, 0.269]"
-0.5831458420782769,-0.199,-0.233,-0.034
,"[-0.363, -0.035]","[-0.465, -0.002]","[-0.252, 0.184]"
-0.5147143555393721,-0.098,-0.151,-0.053
,"[-0.218, 0.023]","[-0.327, 0.025]","[-0.217, 0.11]"
-0.4071844506396704,0.03,-0.041,-0.071
