idx,1 vs. 0,2 vs. 0,2 vs. 1
-1.4770114661769724,-0.422,-0.341,0.081
,"[-0.711, -0.133]","[-0.712, 0.03]","[-0.26, 0.422]"
-1.0538030631384907,-0.444,-0.469,-0.025
,"[-0.699, -0.189]","[-0.786, -0.153]","[-0.315, 0.264]"
-0.6653624498972724,-0.311,-0.315,-0.004
,"[-0.525, -0.096]","[-0.615, -0.014]","[-0.286, 0.279]"
-0.256982233641804,0.149,0.06,-0.089
,"[0.03, 0.268]","[-0.104, 0.223]","[-0.238, 0.059]"
0.16602306994696,0.275,0.246,-0.029
,"[0.096, 0.454]","[0.008, 0.484]","[-0.255, 0.197]"
0.6249039298284971,0.307,0.32,0.013
,"[0.119, 0.495]","[0.051, 0.589]","[-0.235, 0.261]"
1.0856522781846527,0.255,0.229,-0.026
,"[0.046, 0.464]","[-0.05, 0.508]","[-0.284, 0.232]"
1.5260249743829606,0.339,0.394,0.055
,"[0.131, 0.548]","[0.131, 0.656]","[-0.184, 0.293]"
