idx,1 vs. 0,2 vs. 0,2 vs. 1
-1.703181048890666,0.644,0.139,-0.506
,"[0.175, 1.113]","[-0.585, 0.863]","[-1.163, 0.152]"
-1.6538694329441326,0.643,0.136,-0.508
,"[0.179, 1.107]","[-0.578, 0.849]","[-1.155, 0.14]"
-1.5739472046283698,0.642,0.127,-0.515
,"[0.184, 1.1]","[-0.577, 0.831]","[-1.157, 0.128]"
-1.497003369350394,0.646,0.124,-0.522
,"[0.188, 1.104]","[-0.582, 0.829]","[-1.167, 0.123]"
-1.3921711923944824,0.642,0.114,-0.529
,"[0.191, 1.093]","[-0.585, 0.812]","[-1.169, 0.112]"
-1.3142955331682065,0.64,0.118,-0.522
,"[0.19, 1.09]","[-0.577, 0.813]","[-1.159, 0.115]"
-1.2376413581057553,0.634,0.127,-0.507
,"[0.182, 1.086]","[-0.568, 0.821]","[-1.141, 0.126]"
-1.151452736389718,0.635,0.161,-0.474
,"[0.183, 1.087]","[-0.543, 0.864]","[-1.117, 0.168]"
-1.0825764805017208,0.636,0.181,-0.455
,"[0.189, 1.082]","[-0.531, 0.892]","[-1.104, 0.194]"
-1.0243658046747364,0.636,0.194,-0.442
,"[0.192, 1.08]","[-0.511, 0.899]","[-1.087, 0.202]"
-0.9546184357866814,0.643,0.212,-0.431
,"[0.206, 1.079]","[-0.466, 0.89]","[-1.05, 0.188]"
-0.9076830320544016,0.644,0.222,-0.422
,"[0.216, 1.072]","[-0.437, 0.882]","[-1.024, 0.181]"
-0.8559061581643023,0.648,0.235,-0.413
,"[0.224, 1.072]","[-0.414, 0.884]","[-1.01, 0.183]"
-0.8072833883893775,0.659,0.256,-0.403
,"[0.245, 1.072]","[-0.379, 0.891]","[-0.989, 0.184]"
-0.7126418432086534,0.674,0.296,-0.377
,"[0.261, 1.086]","[-0.333, 0.926]","[-0.959, 0.205]"
-0.6391104561673464,0.689,0.356,-0.334
,"[0.277, 1.102]","[-0.263, 0.975]","[-0.906, 0.239]"
-0.584878157321284,0.706,0.417,-0.289
,"[0.31, 1.101]","[-0.175, 1.008]","[-0.838, 0.26]"
-0.524097593157905,0.727,0.483,-0.244
,"[0.346, 1.109]","[-0.104, 1.07]","[-0.798, 0.31]"
-0.4685885277287265,0.749,0.542,-0.207
,"[0.37, 1.127]","[-0.004, 1.088]","[-0.719, 0.306]"
-0.3912941550027762,0.772,0.623,-0.15
,"[0.402, 1.143]","[0.071, 1.174]","[-0.675, 0.375]"
-0.3215992115937141,0.792,0.699,-0.093
,"[0.408, 1.176]","[0.17, 1.227]","[-0.594, 0.407]"
-0.2594648240204991,0.819,0.765,-0.055
,"[0.425, 1.214]","[0.241, 1.288]","[-0.55, 0.44]"
-0.15596772805278,0.846,0.821,-0.025
,"[0.435, 1.257]","[0.289, 1.353]","[-0.523, 0.473]"
-0.0957796262837336,0.871,0.859,-0.013
,"[0.452, 1.29]","[0.322, 1.395]","[-0.512, 0.487]"
-0.019054206100353,0.897,0.904,0.007
,"[0.471, 1.323]","[0.362, 1.445]","[-0.49, 0.503]"
0.052857801011623,0.928,0.946,0.018
,"[0.508, 1.348]","[0.407, 1.484]","[-0.474, 0.51]"
0.109411822401764,0.961,0.986,0.025
,"[0.537, 1.384]","[0.443, 1.528]","[-0.472, 0.522]"
0.1780501701453622,0.991,1.021,0.031
,"[0.558, 1.423]","[0.472, 1.57]","[-0.474, 0.536]"
0.267709518263319,1.018,1.056,0.037
,"[0.589, 1.448]","[0.508, 1.604]","[-0.468, 0.543]"
0.3524254616134985,1.016,1.051,0.035
,"[0.584, 1.448]","[0.496, 1.607]","[-0.478, 0.548]"
0.3967007120681454,1.001,1.035,0.034
,"[0.575, 1.427]","[0.486, 1.584]","[-0.477, 0.546]"
