idx,1 vs. 0,2 vs. 0,2 vs. 1
-1.503818981755732,0.649,0.132,-0.516
,"[0.189, 1.109]","[-0.582, 0.846]","[-1.169, 0.137]"
-1.0442317205800289,0.632,0.185,-0.447
,"[0.188, 1.076]","[-0.524, 0.894]","[-1.096, 0.203]"
-0.6542191829394935,0.684,0.333,-0.351
,"[0.268, 1.1]","[-0.302, 0.968]","[-0.941, 0.239]"
-0.2824733035029711,0.823,0.79,-0.033
,"[0.422, 1.224]","[0.268, 1.312]","[-0.524, 0.458]"
0.1842573314079842,0.985,1.003,0.018
,"[0.552, 1.418]","[0.453, 1.552]","[-0.488, 0.523]"
0.6297332406932604,0.877,0.94,0.063
,"[0.451, 1.303]","[0.397, 1.482]","[-0.444, 0.569]"
1.087597923167437,0.806,0.869,0.064
,"[0.343, 1.269]","[0.274, 1.465]","[-0.5, 0.627]"
1.5172319645994117,0.884,0.948,0.064
,"[0.417, 1.35]","[0.341, 1.555]","[-0.507, 0.635]"
