idx,1 vs. 0,2 vs. 0,2 vs. 1
-1.703181048890666,-0.163,-0.588,-0.425
,"[-0.514, 0.188]","[-1.1, -0.076]","[-0.885, 0.035]"
-1.6538694329441326,-0.164,-0.588,-0.424
,"[-0.511, 0.183]","[-1.091, -0.085]","[-0.875, 0.027]"
-1.5739472046283698,-0.166,-0.587,-0.421
,"[-0.505, 0.173]","[-1.076, -0.099]","[-0.861, 0.019]"
-1.497003369350394,-0.165,-0.582,-0.417
,"[-0.501, 0.171]","[-1.063, -0.101]","[-0.85, 0.016]"
-1.3921711923944824,-0.173,-0.578,-0.404
,"[-0.504, 0.157]","[-1.047, -0.109]","[-0.824, 0.015]"
-1.3142955331682065,-0.176,-0.568,-0.392
,"[-0.504, 0.152]","[-1.036, -0.099]","[-0.813, 0.03]"
-1.2376413581057553,-0.184,-0.544,-0.36
,"[-0.509, 0.141]","[-1.012, -0.075]","[-0.781, 0.062]"
-1.151452736389718,-0.183,-0.507,-0.324
,"[-0.506, 0.14]","[-0.977, -0.038]","[-0.749, 0.1]"
-1.0825764805017208,-0.179,-0.483,-0.304
,"[-0.498, 0.139]","[-0.948, -0.018]","[-0.723, 0.116]"
-1.0243658046747364,-0.174,-0.463,-0.289
,"[-0.483, 0.135]","[-0.915, -0.011]","[-0.698, 0.121]"
-0.9546184357866814,-0.161,-0.437,-0.275
,"[-0.455, 0.132]","[-0.871, -0.002]","[-0.671, 0.121]"
-0.9076830320544016,-0.156,-0.42,-0.264
,"[-0.438, 0.126]","[-0.838, -0.002]","[-0.644, 0.116]"
-0.8559061581643023,-0.147,-0.398,-0.251
,"[-0.413, 0.119]","[-0.787, -0.009]","[-0.604, 0.101]"
-0.8072833883893775,-0.131,-0.368,-0.238
,"[-0.379, 0.118]","[-0.73, -0.007]","[-0.567, 0.091]"
-0.7126418432086534,-0.106,-0.316,-0.21
,"[-0.322, 0.11]","[-0.639, 0.007]","[-0.505, 0.085]"
-0.6391104561673464,-0.086,-0.251,-0.164
,"[-0.264, 0.091]","[-0.522, 0.02]","[-0.418, 0.089]"
-0.584878157321284,-0.072,-0.191,-0.119
,"[-0.223, 0.08]","[-0.422, 0.04]","[-0.336, 0.098]"
-0.524097593157905,-0.053,-0.13,-0.077
,"[-0.176, 0.069]","[-0.303, 0.043]","[-0.241, 0.088]"
-0.4685885277287265,-0.035,-0.078,-0.044
,"[-0.141, 0.072]","[-0.223, 0.066]","[-0.181, 0.094]"
-0.3912941550027762,-0.016,-0.01,0.006
,"[-0.123, 0.091]","[-0.141, 0.122]","[-0.116, 0.128]"
-0.3215992115937141,-0.001,0.054,0.055
,"[-0.116, 0.114]","[-0.088, 0.195]","[-0.076, 0.186]"
-0.2594648240204991,0.027,0.115,0.088
,"[-0.105, 0.159]","[-0.054, 0.283]","[-0.067, 0.243]"
-0.15596772805278,0.059,0.166,0.107
,"[-0.086, 0.203]","[-0.034, 0.365]","[-0.077, 0.292]"
-0.0957796262837336,0.087,0.202,0.115
,"[-0.063, 0.237]","[-0.007, 0.412]","[-0.073, 0.303]"
-0.019054206100353,0.115,0.25,0.135
,"[-0.043, 0.273]","[0.029, 0.471]","[-0.062, 0.332]"
0.052857801011623,0.147,0.297,0.15
,"[-0.024, 0.317]","[0.063, 0.531]","[-0.056, 0.356]"
0.109411822401764,0.18,0.342,0.162
,"[0.002, 0.357]","[0.097, 0.587]","[-0.055, 0.38]"
0.1780501701453622,0.208,0.381,0.173
,"[0.021, 0.395]","[0.122, 0.64]","[-0.058, 0.404]"
0.267709518263319,0.234,0.422,0.188
,"[0.034, 0.435]","[0.145, 0.7]","[-0.058, 0.434]"
0.3524254616134985,0.233,0.424,0.191
,"[0.028, 0.438]","[0.136, 0.711]","[-0.062, 0.443]"
0.3967007120681454,0.218,0.408,0.189
,"[0.023, 0.414]","[0.125, 0.691]","[-0.061, 0.439]"
0.4770645843278058,0.183,0.372,0.189
,"[-0.005, 0.371]","[0.098, 0.645]","[-0.054, 0.431]"
0.5552102505834607,0.118,0.308,0.19
,"[-0.065, 0.302]","[0.046, 0.571]","[-0.045, 0.425]"
0.6180680164628675,0.081,0.276,0.195
,"[-0.097, 0.259]","[0.021, 0.531]","[-0.034, 0.424]"
0.683362415291856,0.064,0.267,0.204
,"[-0.115, 0.242]","[0.013, 0.521]","[-0.025, 0.432]"
0.7516821820816219,0.056,0.264,0.208
,"[-0.126, 0.238]","[0.006, 0.522]","[-0.026, 0.443]"
0.8032528507228828,0.057,0.268,0.211
,"[-0.132, 0.246]","[0.002, 0.534]","[-0.032, 0.455]"
0.8874016402339868,0.052,0.257,0.206
,"[-0.145, 0.248]","[-0.023, 0.538]","[-0.052, 0.464]"
0.9446558350564406,0.041,0.241,0.2
,"[-0.16, 0.242]","[-0.046, 0.527]","[-0.065, 0.464]"
1.0149798303215998,0.026,0.22,0.194
,"[-0.183, 0.235]","[-0.073, 0.514]","[-0.077, 0.465]"
1.0634540622374122,0.015,0.206,0.191
,"[-0.2, 0.23]","[-0.089, 0.502]","[-0.083, 0.466]"
1.1211406188508906,-0.006,0.186,0.191
,"[-0.226, 0.214]","[-0.119, 0.49]","[-0.091, 0.474]"
1.1867166120962227,-0.028,0.165,0.193
,"[-0.257, 0.2]","[-0.146, 0.475]","[-0.095, 0.481]"
1.270190063593842,-0.045,0.158,0.202
,"[-0.281, 0.192]","[-0.155, 0.47]","[-0.084, 0.488]"
1.3792057438688927,-0.003,0.208,0.211
,"[-0.237, 0.232]","[-0.105, 0.522]","[-0.076, 0.498]"
1.469120907688674,0.05,0.257,0.207
,"[-0.18, 0.28]","[-0.06, 0.574]","[-0.082, 0.496]"
1.5176831600188423,0.072,0.28,0.207
,"[-0.158, 0.303]","[-0.043, 0.603]","[-0.09, 0.505]"
1.5694974089450175,0.091,0.299,0.207
,"[-0.138, 0.321]","[-0.03, 0.627]","[-0.095, 0.509]"
1.6470348959634276,0.132,0.341,0.209
,"[-0.099, 0.364]","[0.008, 0.674]","[-0.096, 0.514]"
1.7144906242704714,0.172,0.386,0.214
,"[-0.067, 0.411]","[0.046, 0.726]","[-0.095, 0.523]"
