idx,1 vs. 0,2 vs. 0,2 vs. 1
-1.503818981755732,-0.161,-0.578,-0.417
,"[-0.503, 0.18]","[-1.069, -0.087]","[-0.859, 0.025]"
-1.0442317205800289,-0.181,-0.475,-0.295
,"[-0.497, 0.136]","[-0.939, -0.012]","[-0.713, 0.123]"
-0.6542191829394935,-0.09,-0.269,-0.179
,"[-0.279, 0.1]","[-0.561, 0.024]","[-0.454, 0.095]"
-0.2824733035029711,0.031,0.138,0.107
,"[-0.112, 0.173]","[-0.059, 0.335]","[-0.077, 0.292]"
0.1842573314079842,0.202,0.363,0.161
,"[0.016, 0.387]","[0.104, 0.621]","[-0.069, 0.392]"
0.6297332406932604,0.089,0.293,0.204
,"[-0.093, 0.271]","[0.034, 0.553]","[-0.029, 0.437]"
1.087597923167437,0.008,0.204,0.197
,"[-0.212, 0.227]","[-0.098, 0.506]","[-0.084, 0.477]"
1.5172319645994117,0.095,0.31,0.215
,"[-0.135, 0.324]","[-0.015, 0.634]","[-0.083, 0.513]"
