idx,1 vs. 0,2 vs. 0,2 vs. 1
-1.7144182573044016,0.344,0.313,-0.031
,"[-0.171, 0.859]","[-0.311, 0.937]","[-0.598, 0.535]"
-1.658484742346402,0.344,0.317,-0.027
,"[-0.17, 0.858]","[-0.306, 0.939]","[-0.594, 0.539]"
-1.576011262540505,0.34,0.307,-0.033
,"[-0.173, 0.852]","[-0.313, 0.927]","[-0.598, 0.532]"
-1.5246816375261607,0.335,0.297,-0.037
,"[-0.177, 0.847]","[-0.324, 0.919]","[-0.604, 0.529]"
-1.4525121304638229,0.327,0.272,-0.055
,"[-0.18, 0.834]","[-0.346, 0.89]","[-0.617, 0.508]"
-1.39170072024102,0.319,0.252,-0.067
,"[-0.185, 0.823]","[-0.357, 0.861]","[-0.624, 0.49]"
-1.3512796738283397,0.313,0.236,-0.078
,"[-0.186, 0.813]","[-0.365, 0.837]","[-0.629, 0.473]"
-1.2911313308400365,0.307,0.21,-0.097
,"[-0.174, 0.788]","[-0.387, 0.807]","[-0.656, 0.462]"
-1.216236212856429,0.301,0.184,-0.117
,"[-0.185, 0.787]","[-0.412, 0.781]","[-0.682, 0.448]"
-1.155487407628078,0.304,0.167,-0.137
,"[-0.185, 0.794]","[-0.428, 0.763]","[-0.702, 0.428]"
-1.1113378338892788,0.308,0.159,-0.148
,"[-0.174, 0.79]","[-0.428, 0.747]","[-0.711, 0.414]"
-1.055241457389246,0.317,0.166,-0.151
,"[-0.165, 0.799]","[-0.429, 0.762]","[-0.72, 0.419]"
-0.9733962062337136,0.334,0.181,-0.153
,"[-0.153, 0.821]","[-0.404, 0.767]","[-0.72, 0.414]"
-0.9024451097017911,0.358,0.202,-0.156
,"[-0.129, 0.844]","[-0.378, 0.783]","[-0.719, 0.408]"
-0.8662282981810873,0.37,0.212,-0.158
,"[-0.125, 0.864]","[-0.377, 0.801]","[-0.724, 0.409]"
-0.8156291692951694,0.387,0.229,-0.158
,"[-0.098, 0.873]","[-0.357, 0.815]","[-0.718, 0.402]"
-0.7265906511140023,0.42,0.263,-0.157
,"[-0.061, 0.902]","[-0.328, 0.854]","[-0.722, 0.407]"
-0.6776854105773392,0.451,0.293,-0.158
,"[-0.015, 0.918]","[-0.292, 0.878]","[-0.717, 0.402]"
-0.5831458420782769,0.586,0.403,-0.184
,"[0.157, 1.016]","[-0.164, 0.97]","[-0.722, 0.355]"
-0.5147143555393721,0.703,0.496,-0.207
,"[0.305, 1.101]","[-0.048, 1.041]","[-0.725, 0.311]"
-0.4071844506396704,0.849,0.636,-0.213
,"[0.471, 1.227]","[0.085, 1.187]","[-0.735, 0.309]"
-0.3621069725522465,0.892,0.678,-0.214
,"[0.523, 1.261]","[0.129, 1.227]","[-0.734, 0.307]"
-0.2936618410852831,0.954,0.74,-0.214
,"[0.58, 1.328]","[0.194, 1.286]","[-0.72, 0.292]"
-0.2450731576137712,0.987,0.775,-0.211
,"[0.608, 1.366]","[0.219, 1.332]","[-0.725, 0.303]"
-0.174922479949972,1.016,0.809,-0.207
,"[0.63, 1.402]","[0.228, 1.39]","[-0.743, 0.33]"
-0.0919268391826789,1.035,0.831,-0.204
,"[0.645, 1.426]","[0.237, 1.426]","[-0.752, 0.344]"
-0.0311022458438512,1.047,0.856,-0.191
,"[0.652, 1.441]","[0.245, 1.467]","[-0.756, 0.375]"
0.0329558446949673,1.067,0.893,-0.174
,"[0.665, 1.469]","[0.259, 1.527]","[-0.764, 0.415]"
0.1001442794038909,1.091,0.927,-0.164
,"[0.686, 1.496]","[0.299, 1.555]","[-0.747, 0.419]"
0.1781155028135414,1.113,0.956,-0.158
,"[0.706, 1.52]","[0.291, 1.621]","[-0.78, 0.465]"
0.2818047468804571,1.145,1.005,-0.14
,"[0.736, 1.554]","[0.345, 1.666]","[-0.762, 0.482]"
0.3606772137689366,1.164,1.04,-0.123
,"[0.75, 1.578]","[0.426, 1.655]","[-0.694, 0.447]"
0.4579421033766778,1.174,1.069,-0.105
,"[0.768, 1.58]","[0.396, 1.742]","[-0.739, 0.528]"
0.5505622722333529,1.155,1.055,-0.1
,"[0.745, 1.564]","[0.377, 1.732]","[-0.736, 0.536]"
0.622113222680239,1.141,1.048,-0.093
,"[0.729, 1.553]","[0.369, 1.728]","[-0.727, 0.542]"
