idx,1 vs. 0,2 vs. 0,2 vs. 1
-1.503818981755732,0.645,0.147,-0.499
,"[0.178, 1.113]","[-0.583, 0.876]","[-1.166, 0.168]"
-1.0442317205800289,0.626,0.206,-0.42
,"[0.176, 1.076]","[-0.517, 0.93]","[-1.082, 0.243]"
-0.6542191829394935,0.717,0.413,-0.304
,"[0.305, 1.129]","[-0.209, 1.036]","[-0.887, 0.279]"
-0.2824733035029711,0.837,0.813,-0.025
,"[0.445, 1.229]","[0.279, 1.346]","[-0.53, 0.481]"
0.1842573314079842,1.008,1.038,0.03
,"[0.582, 1.434]","[0.487, 1.589]","[-0.478, 0.538]"
0.6297332406932604,0.896,0.973,0.077
,"[0.47, 1.321]","[0.436, 1.511]","[-0.427, 0.582]"
1.087597923167437,0.814,0.886,0.072
,"[0.355, 1.273]","[0.303, 1.469]","[-0.482, 0.626]"
1.5172319645994117,0.901,0.992,0.091
,"[0.44, 1.362]","[0.392, 1.592]","[-0.475, 0.656]"
