,1 vs. 0,2 vs. 0,2 vs. 1
0,0.785,0.644,-0.141
,"[0.41, 1.16]","[0.098, 1.19]","[-0.662, 0.381]"
1,0.922,0.867,-0.055
,"[0.528, 1.316]","[0.338, 1.396]","[-0.546, 0.435]"
2,0.846,0.794,-0.052
,"[0.466, 1.225]","[0.271, 1.317]","[-0.538, 0.435]"
3,0.843,0.718,-0.125
,"[0.475, 1.212]","[0.142, 1.294]","[-0.671, 0.421]"
4,0.785,0.655,-0.129
,"[0.391, 1.178]","[0.127, 1.184]","[-0.625, 0.366]"
5,0.664,0.479,-0.185
,"[0.282, 1.046]","[-0.066, 1.023]","[-0.707, 0.337]"
6,0.923,0.772,-0.151
,"[0.554, 1.292]","[0.218, 1.325]","[-0.673, 0.37]"
7,0.824,0.662,-0.163
,"[0.45, 1.198]","[0.108, 1.215]","[-0.681, 0.356]"
8,0.74,0.62,-0.12
,"[0.366, 1.113]","[0.102, 1.138]","[-0.606, 0.366]"
9,0.768,0.634,-0.134
,"[0.401, 1.135]","[0.097, 1.171]","[-0.635, 0.367]"
